tahun,provinsi,kabupaten_kota,timbulan_harian_ton,timbulan_tahunan_ton,pengurangan_ton,pct_pengurangan,penanganan_ton,pct_penanganan,terkelola_ton,pct_terkelola,daur_ulang_ton,bahan_baku_ton,recycling_rate,periode,komposisi_makanan_pct,komposisi_kayu_pct,komposisi_kertas_pct,komposisi_plastik_pct,komposisi_logam_pct,komposisi_kain_pct,komposisi_karet_pct,komposisi_kaca_pct,komposisi_lainnya_pct,gap_tidak_tertangani_ton,kategori_pengelolaan
2024,Kalimantan Selatan,Kab. Tabalong,118.06,43092.79,25.32,0.06,33883.96,78.63,33909.28,78.69,0,1873.46,4.35,P 2,36,2,17,24,1,3,1,3,13,9182.62,Cukup (60-80%)
2024,Kalimantan Selatan,Kab. Tanah Bumbu,175.66,64117.18,0.01,0,59653.45,93.04,59653.46,93.04,0,12517.35,19.52,P 2,64.04,4.23,3.2,12.3,2.1,2.2,1.24,2.23,8.46,4462.44,Baik (>80%)
2024,Kalimantan Selatan,Kab. Balangan,58.77,21452.55,50.92,0.24,4259.32,19.85,4310.25,20.09,49.44,4259.32,20.09,P 2,60.62,7.36,10.43,15.84,2.01,1.53,0.98,0.2,1.03,17140.8,Sangat Kurang (<30%)
2024,Kalimantan Selatan,Kota Banjarmasin,475.75,173647.25,0,0,48339.01,27.84,48339.01,27.84,0,38649.72,22.26,P 2,,,,,,,,,,125309.74,Sangat Kurang (<30%)
2024,Kalimantan Selatan,Kota Banjarbaru,190.93,69690.95,21.77,0.03,65888.98,94.54,65910.75,94.58,21.72,15570.08,22.37,P 2,50.17,5.1,18,23.9,0.8,0.3,0.43,0.1,1.2,3778.7,Baik (>80%)
2024,Kalimantan Timur,Kab. Paser,126.96,46341.67,115.84,0.25,34028.07,73.43,34143.92,73.68,0,5665.86,12.23,P 2,45.9,9.01,8.28,17.02,0.84,1.41,0.86,2.3,14.38,12196.48,Cukup (60-80%)
2024,Kalimantan Timur,Kab. Kutai Kartanegara,372.77,136061.62,285.43,0.21,16048.53,11.8,16333.96,12,285.43,16048.53,12,P 2,32.58,24.72,12.89,18.61,0.99,3.39,2.86,0.67,3.29,119727.09,Sangat Kurang (<30%)
2024,Kalimantan Timur,Kab. Berau,149.5,54568.41,120.62,0.22,36152.98,66.25,36273.6,66.47,47.06,5805.79,10.73,P 2,55.39,1.28,3.74,26.47,9.63,0.2,0.2,0.99,2.1,18293.9,Cukup (60-80%)
2024,Kalimantan Timur,Kab. Kutai Barat,74.63,27240.83,0,0,209.39,0.77,209.39,0.77,0,209.39,0.77,P 2,18,1,35,22,24,,,,,27030.56,Sangat Kurang (<30%)
2024,Kalimantan Timur,Kab. Kutai Timur,224.43,81915.13,9.6,0.01,7337.06,8.96,7346.66,8.97,0,7191.06,8.78,P 2,,,,,,,,,,74570.29,Sangat Kurang (<30%)
2024,Kalimantan Timur,Kab. Penajam Paser Utara,101.03,36877.23,1.63,0,23335.91,63.28,23337.54,63.28,0,4680.76,12.69,P 2,46.13,1.09,20.87,29.83,0.22,0.02,0.67,0.83,0.34,13538.41,Cukup (60-80%)
2024,Kalimantan Timur,Kab. Mahakam Ulu,18.87,6888.69,0,0,91.25,1.32,91.25,1.32,0,91.25,1.32,P 2,,,,,,,,,,6796.3,Sangat Kurang (<30%)
2024,Kalimantan Timur,Kota Balikpapan,540.69,197352.8,806.8,0.41,191948.52,97.26,192755.32,97.67,789.02,51343.22,26.42,P 2,42.3,6.36,10.26,7.2,3.87,2.94,0.98,6.56,19.53,4596.53,Baik (>80%)
2024,Kalimantan Timur,Kota Samarinda,616.86,225152.99,171.83,0.08,33271.19,14.78,33443.02,14.85,0,33271.19,14.78,P 2,,,,,,,,,,191710.88,Sangat Kurang (<30%)
2024,Kalimantan Timur,Kota Bontang,107.41,39206.17,358.8,0.92,38258.57,97.58,38617.37,98.5,358.8,10438.27,27.54,P 2,44.12,6,27.5,18,2.1,0.03,0.25,1.05,0.95,587.28,Baik (>80%)
2024,Kalimantan Utara,Kab. Bulungan,84.06,30681.17,0,0,29331.4,95.6,29331.4,95.6,0,0,0,P 2,,,,,,,,,,1350.5,Baik (>80%)
2024,Kalimantan Utara,Kab. Malinau,34.59,12624.77,22.37,0.18,12.31,0.1,34.68,0.27,0,12.31,0.1,P 2,26.43,15,18.55,20,2,3,2,2,8,12590.67,Sangat Kurang (<30%)
2024,Kalimantan Utara,Kab. Nunukan,45.76,16703.8,0.21,0,13981.66,83.7,13981.87,83.7,0,4615.76,27.63,P 2,52.38,1.77,11.81,12.57,3,4.23,1.08,1.68,11.48,2720.53,Baik (>80%)
2024,Kalimantan Utara,Kab. Tana Tidung,11.72,4276.49,0,0,2899.88,67.81,2899.88,67.81,0,60.87,1.42,P 2,,,,,,,,,,1377.92,Cukup (60-80%)
2024,Sulawesi Utara,Kab. Bolaang Mongondow,127.47,46527.46,0,0,0,0,0,0,0,0,0,P 2,49.98,14.52,8.5,10.8,4.05,3.33,2.9,2.32,3.6,46526.55,Sangat Kurang (<30%)
2024,Sulawesi Utara,Kab. Minahasa,176.53,64432.36,489.1,0.76,16277.3,25.26,16766.4,26.02,489.1,16277.3,26.02,P 2,,,,,,,,,,47667.05,Sangat Kurang (<30%)
2024,Sulawesi Utara,Kab. Kepulauan Sangihe,56.25,20529.64,16.53,0.08,11212.88,54.62,11229.41,54.7,0,368.73,1.8,P 2,45.73,17.85,5.2,20.55,2.46,0.5,3.3,1,3.41,9301.84,Kurang (30-60%)
2024,Sulawesi Utara,Kab. Kepulauan Talaud,40.26,14694.17,0,0,0,0,0,0,0,0,0,P 2,40.58,9,5.2,32.5,0.3,0.3,2,1.7,8.42,14694.9,Sangat Kurang (<30%)
2024,Sulawesi Utara,Kab. Minahasa Selatan,87.02,31764.05,83.86,0.26,12667.34,39.88,12751.2,40.14,0,1717.34,5.41,P 2,20,12,12,36,4,4,5,2,5,19011.1,Kurang (30-60%)
2024,Sulawesi Utara,Kab. Minahasa Utara,120.48,43976.48,0,0,23871.83,54.28,23871.83,54.28,0,22.73,0.05,P 2,43.1,12.7,13.4,20.45,1.9,2.15,2.65,2.4,1.25,20103.37,Kurang (30-60%)
2024,Sulawesi Utara,Kab. Minahasa Tenggara,47.72,17418.53,0.08,0,33.86,0.19,33.94,0.19,0,33.86,0.19,P 2,34.29,5.71,14.29,2.86,5.71,11.43,5.71,2.86,17.14,17383.86,Sangat Kurang (<30%)
2024,Sulawesi Utara,Kab. Bolaang Mongondow Utara,34.44,12572.21,0,0,6876.97,54.7,6876.97,54.7,0,11.32,0.09,P 2,20,30,10,10,5,5,5,5,10,5693.63,Kurang (30-60%)
2024,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,29.15,10640.92,5.42,0.05,116.8,1.1,122.22,1.15,0,116.8,1.1,P 2,40,5,10,30,5,5,5,,,10517.53,Sangat Kurang (<30%)
2024,Sulawesi Utara,Kab. Bolaang Mongondow Timur,37.07,13529.97,0,0,0,0,0,0,0,0,0,P 2,50.15,14.7,8.7,12.5,3.8,3.1,2.5,1.9,2.65,13530.55,Sangat Kurang (<30%)
2024,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,30.15,11004.6,0,0,147.28,1.34,147.28,1.34,0,147.28,1.34,P 2,21,22,10,10,5,6,5,5,16,10857.47,Sangat Kurang (<30%)
2024,Sulawesi Utara,Kota Manado,296.05,108059.84,138.7,0.13,8864.7,8.2,9003.4,8.33,138.7,8864.7,8.33,P 2,47.7,1.14,18.66,19.48,0.26,1.54,1.49,1.85,7.88,99054.85,Sangat Kurang (<30%)
2024,Sulawesi Utara,Kota Bitung,150.31,54861.98,0,0,11.16,0.02,11.16,0.02,0,11.16,0.02,P 2,50.2,2.05,16.03,15.07,0.36,1.48,1.37,1.83,11.61,54851.99,Sangat Kurang (<30%)
2024,Sulawesi Utara,Kota Tomohon,51.36,18747.13,0.42,0,13559.75,72.33,13560.17,72.33,0,54.75,0.29,P 2,,,,,,,,,,5186.23,Cukup (60-80%)
2024,Sulawesi Utara,Kota Kotamobagu,86.65,31626.81,5.19,0.02,24722.45,78.17,24727.63,78.19,2.96,2471.68,7.82,P 2,53.5,5,11.8,8.5,5.7,3.6,2.6,2.8,6.5,6899.62,Cukup (60-80%)
2024,Sulawesi Tengah,Kab. Donggala,123.32,45011.8,372.48,0.83,8323.06,18.49,8695.54,19.32,0,950.05,2.11,P 2,35,10,20,13,6,3,3,3,7,36316.26,Sangat Kurang (<30%)
2024,Sulawesi Tengah,Kab. Morowali,85.23,31107.13,0,0,5667.92,18.22,5667.92,18.22,0,882.77,2.84,P 2,2.2,3,2.5,8.88,3.1,1.5,2,0.2,3,25441.03,Sangat Kurang (<30%)
2024,Sulawesi Tengah,Kab. Banggai Kepulauan,60.84,22207.33,242.4,1.09,15.65,0.07,258.05,1.16,0,15.65,0.07,P 2,15,20,13,15,8,3,5,6,15,21948.55,Sangat Kurang (<30%)
2024,Sulawesi Tengah,Kab. Parigi Moutong,228.52,83408.16,0,0,6931.49,8.31,6931.49,8.31,0,3460.34,4.15,P 2,,,,,,,,,,76478.31,Sangat Kurang (<30%)
2024,Sulawesi Tengah,Kab. Banggai Laut,38.7,14124.59,0,0,219,1.55,219,1.55,0,219,1.55,P 2,,,,,,,,,,13906.5,Sangat Kurang (<30%)
2024,Sulawesi Tengah,Kab. Morowali Utara,75.32,27490.71,1.83,0.01,9.86,0.04,11.68,0.04,1.83,9.86,0.04,P 2,,,,,,,,,,27480.12,Sangat Kurang (<30%)
2024,Sulawesi Tengah,Kota Palu,194.98,71167.52,3758.08,5.28,64110.64,90.08,67868.72,95.36,0,2060.64,2.9,P 2,70.96,0.77,9.44,10.43,1.9,1.06,0.6,0.59,4.25,3298.98,Baik (>80%)
2024,Sulawesi Selatan,Kab. Kepulauan Selayar,56.84,20746.6,0,0,451.6,2.18,451.6,2.18,0,451.6,2.18,P 2,,,,,,,,,,20295,Sangat Kurang (<30%)
2024,Sulawesi Selatan,Kab. Bulukumba,186.15,67943,2704.01,3.98,5688.96,8.37,8392.96,12.35,1468.27,5688.96,10.53,P 2,38.12,28.72,8.73,15.21,3.82,1.17,2.39,1.84,,59551.79,Sangat Kurang (<30%)
2024,Sulawesi Selatan,Kab. Bantaeng,84.65,30896.96,150.49,0.49,9777.69,31.65,9928.17,32.13,144.91,9777.69,32.12,P 2,30.13,27.5,10,14,2.24,3,2,1.13,10,20969.08,Kurang (30-60%)
2024,Sulawesi Selatan,Kab. Jeneponto,168.05,61337.96,470.14,0.77,4456.35,7.27,4926.49,8.03,0,4456.35,7.27,P 2,19,22.5,11.5,21.5,5,1.5,4,2.5,12.5,56411.76,Sangat Kurang (<30%)
2024,Sulawesi Selatan,Kab. Sinjai,110.51,40335.27,180.81,0.45,6522.37,16.17,6703.18,16.62,0.21,6522.37,16.17,P 2,31.5,13,31.09,14.68,8.2,0.87,0.44,0.08,,33632.97,Sangat Kurang (<30%)
2024,Sulawesi Selatan,Kab. Bone,410.26,149743.08,194.53,0.13,108497.47,72.46,108691.99,72.59,138.7,21536.22,14.47,P 2,39.3,13.1,11.5,19.2,3.4,2.3,2,2,7.2,41052.91,Cukup (60-80%)
2024,Sulawesi Selatan,Kab. Maros,165.44,60385.6,109.83,0.18,41738.17,69.12,41847.99,69.3,52.93,9435.67,15.71,P 2,65.15,10.25,8.7,7.84,2.45,,,,6,18537.61,Cukup (60-80%)
2024,Sulawesi Selatan,Kab. Pangkajene dan Kepulauan,144.72,52821.49,0,0,27891.81,52.8,27891.81,52.8,0,6809.41,12.89,P 2,63.13,10.83,8.99,7.29,6.5,0.72,0.19,1.55,0.8,24930.99,Kurang (30-60%)
2024,Sulawesi Selatan,Kab. Barru,78.53,28664.91,0,0,18150.71,63.32,18150.71,63.32,0,4590.96,16.02,P 2,61.8,8,6.2,15.7,1.8,1,1,1,3.5,10512.74,Cukup (60-80%)
2024,Sulawesi Selatan,Kab. Soppeng,96.38,35179.43,272.34,0.77,27127.16,77.11,27399.5,77.89,272.29,3767.16,11.48,P 2,53,7,14,20,2.2,0.7,2,0.3,0.8,7779.2,Cukup (60-80%)
2024,Sulawesi Selatan,Kab. Sidenreng Rappang,132.3,48288.33,20.1,0.04,35871.03,74.29,35891.13,74.33,19.99,9408.53,19.53,P 2,41.4,13.2,10.9,18.5,3,2.6,2,2,6.4,12398.37,Cukup (60-80%)
2024,Sulawesi Selatan,Kab. Pinrang,187.73,68522.47,102.63,0.15,42290.4,61.72,42393.02,61.87,102.57,12239.95,18.01,P 2,0.58,,0.32,0.56,0.01,,,0.07,,26128.43,Cukup (60-80%)
2024,Sulawesi Selatan,Kab. Enrekang,104.79,38248.08,0,0,17273.33,45.16,17273.33,45.16,0,7053.33,18.44,P 2,15,15,23,30,3,5,2,7,,20975.02,Kurang (30-60%)
2024,Sulawesi Selatan,Kab. Luwu,153.71,56104.88,0.02,0,0,0,0.02,0,0,0,0,P 2,40,10,25,15,3,1,2,2,2,56104.13,Sangat Kurang (<30%)
2024,Sulawesi Selatan,Kab. Tana Toraja,129.47,47255.46,0,0,30.31,0.06,30.31,0.06,0,30.31,0.06,P 2,,,,,,,,,,47226.24,Sangat Kurang (<30%)
2024,Sulawesi Selatan,Kab. Luwu Utara,166.56,60795.68,5.45,0.01,0,0,5.45,0.01,0,0,0,P 2,65,10,9,2,1,1,1,1,10,60788.95,Sangat Kurang (<30%)
2024,Sulawesi Selatan,Kab. Luwu Timur,123.41,45045.38,4.58,0.01,5907.62,13.11,5912.21,13.12,0,5907.62,13.11,P 2,40,10,25,15,3,1.5,2,2,1.5,39132.44,Sangat Kurang (<30%)
2024,Sulawesi Selatan,Kab. Toraja Utara,133.26,48638.62,0,0,14623.89,30.07,14623.89,30.07,0,3491.39,7.18,P 2,,,,,,,,,,34016.01,Kurang (30-60%)
2024,Sulawesi Selatan,Kota Makassar,1064.06,388381.87,4771.59,1.23,1303.2,0.34,6074.79,1.56,4771.59,1303.2,1.56,P 2,65,,7,16,2,,1,4,5,382307.11,Sangat Kurang (<30%)
2024,Sulawesi Selatan,Kota Parepare,80.92,29535.8,11.7,0.04,24037.28,81.38,24048.98,81.42,0,2210.28,7.48,P 2,52.2,11.6,11.8,12.2,2.7,1.9,2.25,2.65,2.7,5486.82,Baik (>80%)
2024,Sulawesi Selatan,Kota Palopo,88.76,32398.5,6.19,0.02,24931.36,76.95,24937.55,76.97,0,2586.43,7.98,P 2,43,9,13,23,2.5,1.5,2,2,4,7459.85,Cukup (60-80%)
2024,Sulawesi Tenggara,Kab. Kolaka,120.51,43984.58,0,0,2099.85,4.77,2099.85,4.77,0,2099.85,4.77,P 2,65,5,10,10,5,1,1,2,1,41886.3,Sangat Kurang (<30%)
2024,Sulawesi Tenggara,Kab. Konawe,133.15,48599.57,0,0,5033.34,10.36,5033.34,10.36,0,5033.34,10.36,P 2,20,10,10,30,15,0.7,0.5,11,2.8,43566.41,Sangat Kurang (<30%)
2024,Sulawesi Tenggara,Kab. Muna,114.32,41726.62,175.73,0.42,1277.5,3.06,1453.23,3.48,0,1277.5,3.06,P 2,47,9,12,23,2,2,2,2,1,40273.57,Sangat Kurang (<30%)
2024,Sulawesi Tenggara,Kab. Buton,60.44,22059.32,0,0,18.25,0.08,18.25,0.08,0,10.95,0.05,P 2,50,15,5,10,5,5,2,1,7,22042.35,Sangat Kurang (<30%)
2024,Sulawesi Tenggara,Kab. Konawe Utara,30.96,11299.09,0,0,0,0,0,0,0,0,0,P 2,,,,,,,,,,11300.4,Sangat Kurang (<30%)
2024,Sulawesi Tenggara,Kab. Kolaka Timur,56.58,20651.85,0,0,1186.25,5.74,1186.25,5.74,0,1186.25,5.74,P 2,50,10,15,12,4,2,5,1,1,19465.45,Sangat Kurang (<30%)
2024,Sulawesi Tenggara,Kota Kendari,252.85,92291.44,0,0,88714.94,96.12,88714.94,96.12,0,26664.94,28.89,P 2,52.19,12.69,9.36,12.16,1.55,1.3,1.65,1.87,7.23,3575.31,Baik (>80%)
2024,Sulawesi Tenggara,Kota Bau Bau,91,33215,7.56,0.02,32444.85,97.68,32452.41,97.7,0,5799.85,17.46,P 2,0.48,6.21,4.62,14.59,4.12,,,,69.98,762.59,Baik (>80%)
2024,Gorontalo,Kab. Bone Bolango,56.86,20753.66,164.4,0.79,1632.28,7.87,1796.68,8.66,52.2,1632.28,8.12,P 2,27.25,33.96,8.26,16.76,5.5,,6.4,1.87,,18957.22,Sangat Kurang (<30%)
2024,Gorontalo,Kota Gorontalo,143.05,52213.98,192.35,0.37,11757.04,22.52,11949.4,22.89,182.5,11757.04,22.87,P 2,,,,,,,,,,40263.85,Sangat Kurang (<30%)
2024,Sulawesi Barat,Kab. Mamuju,146.2,53362.09,0,0,761.25,1.43,761.25,1.43,0,761.25,1.43,P 2,,,,,,,,,,52601.75,Sangat Kurang (<30%)
2024,Sulawesi Barat,Kab. Majene,90.68,33098.2,10.68,0.03,736.13,2.22,746.81,2.26,0,736.13,2.22,P 2,37.5,12.75,14.21,21,3.5,1.53,1.12,1.39,7,32351.39,Sangat Kurang (<30%)
2024,Maluku,Kab. Buru,64.58,23572.5,1.83,0.01,2104.96,8.93,2106.78,8.94,1.83,2104.96,8.94,P 2,33,17,10,29,1,3,,2,5,21464.92,Sangat Kurang (<30%)
2024,Maluku,Kab. Seram Bagian Barat,86.96,31738.79,15.48,0.05,430.76,1.36,446.24,1.41,15.48,430.76,1.41,P 2,,,,,,,,,,31294.16,Sangat Kurang (<30%)
2024,Maluku,Kab. Kepulauan Aru,45.01,16429.53,0,0,357.7,2.18,357.7,2.18,0,357.7,2.18,P 2,,,,,,,,,,16070.95,Sangat Kurang (<30%)
2024,Maluku,Kab. Maluku Barat Daya,37.51,13689.84,63.81,0.47,162,1.18,225.81,1.65,0,162,1.18,P 2,16.2,12.7,15.25,14.56,6.87,7.73,7.45,10.29,8.95,13465.34,Sangat Kurang (<30%)
2024,Maluku,Kota Ambon,247.84,90460.29,0,0,3487.55,3.86,3487.55,3.86,0,3487.55,3.86,P 2,,,,,,,,,,86974.05,Sangat Kurang (<30%)
2024,Maluku Utara,Kab. Halmahera Timur,53.84,19652.42,0,0,0,0,0,0,0,0,0,P 2,,,,,,,,,,19651.6,Sangat Kurang (<30%)
2024,Papua,Kab. Jayapura,101.89,37188.39,0.14,0,1799.45,4.84,1799.59,4.84,0,1799.45,4.84,P 2,34.5,2,24,31.2,4.25,1,1.5,,1.55,35390.26,Sangat Kurang (<30%)
2024,Papua,Kab. Kepulauan Yapen,46.44,16951.62,0,0,0.37,0,0.37,0,0,0.37,0,P 2,,,,,,,,,,16950.23,Sangat Kurang (<30%)
2024,Papua,Kab. Sarmi,17,6205,308.06,4.96,84.79,1.37,392.85,6.33,308.06,84.79,6.33,P 2,,,,,,,,,,5812.15,Sangat Kurang (<30%)
2024,Papua,Kab. Keerom,25.4,9271,0,0,240.9,2.6,240.9,2.6,0,0,0,P 2,15,15,15,30,5,5,10,5,,9030.1,Sangat Kurang (<30%)
2024,Papua,Kota Jayapura,242.52,88518.49,35.15,0.04,3162.78,3.57,3197.93,3.61,0,3162.78,3.57,P 2,55,10.6,4.8,13.79,2.3,3.03,2.05,1.49,6.94,85321.87,Sangat Kurang (<30%)
2024,Papua Barat,Kab. Manokwari,210,76650,0,0,1095,1.43,1095,1.43,0,1095,1.43,P 2,44,2,11,26,,,,,17,75555,Sangat Kurang (<30%)
2024,Papua Barat,Kab. Teluk Wondama,17.81,6501.96,3.29,0.05,73,1.12,76.29,1.17,3.29,73,1.17,P 2,15,,15,26,,,,,44,6424.36,Sangat Kurang (<30%)
2024,Papua Selatan,Kab. Asmat,47.41,17305.38,109.5,0.63,0,0,109.5,0.63,109.5,0,0.63,P 2,20,11.8,15,40,4,2.4,3,1.8,2,17195.15,Sangat Kurang (<30%)
2024,Papua Tengah,Kab. Mimika,159.34,58160.01,0,0,792.8,1.36,792.8,1.36,0,792.8,1.36,P 2,,,,,,,,,,57366.3,Sangat Kurang (<30%)
2024,Papua Barat Daya,Kab. Sorong,51.99,18974.6,41.13,0.22,1533.07,8.08,1574.21,8.3,40.15,1533.07,8.29,P 2,,,,,,,,,,17402.14,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Selatan,96.78,35323.53,37.69,0.11,67.89,0.19,105.58,0.3,0,67.89,0.19,P 2,30.08,12.29,13.1,16.33,6.4,5.42,3.43,5.35,7.6,35219.12,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Tenggara,114.15,41666.21,0,0,0,0,0,0,0,0,0,P 2,50,5,10,22,7,1,3,2,,41664.75,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Timur,179.92,65670.22,0.4,0,857.75,1.31,858.15,1.31,0,857.75,1.31,P 2,37,14,5,26,5,3,2,4,4,64812.65,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Tengah,109.73,40050.24,0,0,1093.18,2.73,1093.18,2.73,0,1093.18,2.73,P 2,22,18,7,26,3,11,5,5,3,38958.27,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Barat,100.86,36813.72,2.34,0.01,1423.5,3.87,1425.84,3.87,0,1423.5,3.87,P 2,48,10,7,22,4,3,2,2,2,35388.06,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Besar,148.09,54053.29,5.02,0.01,32241.76,59.65,32246.78,59.66,0,851.76,1.58,P 2,25.5,25.5,9.5,21.6,5.1,3.3,3.3,3.7,2.5,21806.07,Kurang (30-60%)
2023,Aceh,Kab. Pidie,177.08,64634.93,17.11,0.03,9710.05,15.02,9727.16,15.05,14.02,9710.05,15.04,P 2,8.5,7.5,19.3,35.7,4,1,3,2,19,54907.04,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Utara,307.32,112171.8,0,0,18250,16.27,18250,16.27,0,0,0,P 2,30,10,10,40,2,2,2,1,3,93921.8,Sangat Kurang (<30%)
2023,Aceh,Kab. Simeulue,45.14,16476.21,0,0,665.5,4.04,665.5,4.04,0,665.5,4.04,P 2,22.8,15.3,12.1,26.2,10.2,2.6,2.8,2,6,15810.6,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Singkil,52.31,19094.9,0,0,1202.68,6.3,1202.68,6.3,0,1202.68,6.3,P 2,30,10,15,22,2,5,3,2,11,17890.47,Sangat Kurang (<30%)
2023,Aceh,Kab. Bireuen,158.36,57800.09,0,0,10113.35,17.5,10113.35,17.5,0,10113.35,17.5,P 2,41.1,10.2,15.2,19.2,2.7,2.2,2.1,2.1,5.2,47688.05,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Barat Daya,77.67,28348.09,463.97,1.64,1022,3.61,1485.97,5.24,463.55,1022,5.24,P 2,32.8,9.5,20,12,10,2.2,3.5,5,5,26863.58,Sangat Kurang (<30%)
2023,Aceh,Kab. Gayo Lues,41.28,15068.51,0,0,1460,9.69,1460,9.69,0,1460,9.69,P 2,40,17,8,20,5,4,1,3,2,13607.2,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Jaya,48.01,17525.11,2.16,0.01,287.26,1.64,289.42,1.65,0,287.26,1.64,P 2,45,14,11,15,8,2,2,1,2,17234.23,Sangat Kurang (<30%)
2023,Aceh,Kab. Nagan Raya,69.73,25451.6,4.8,0.02,3664.2,14.4,3669,14.42,0,3664.2,14.4,P 2,42,10,5,34,1,1,1,1,5,21782.45,Sangat Kurang (<30%)
2023,Aceh,Kab. Aceh Tamiang,122.09,44561.68,35.88,0.08,19611.45,44.01,19647.33,44.09,0,3540.5,7.95,P 2,30,2,5,55,3,1,2,1,1,24915.52,Kurang (30-60%)
2023,Aceh,Kab. Bener Meriah,67.63,24685.68,108.69,0.44,10482.8,42.47,10591.49,42.91,97.09,1014.7,4.5,P 2,21,25,19,18,3,3,3,3,5,14093.46,Kurang (30-60%)
2023,Aceh,Kab. Pidie Jaya,81.05,29581.54,0,0,0,0,0,0,0,0,0,P 2,20,27,14,26,2,3,3,3,2,29583.25,Sangat Kurang (<30%)
2023,Aceh,Kota Banda Aceh,255.81,93370.54,129.36,0.14,14893.2,15.95,15022.56,16.09,127.18,14893.2,16.09,P 2,39.4,20.6,3,11.8,4.6,3.8,4.2,4.75,7.85,78348.09,Sangat Kurang (<30%)
2023,Aceh,Kota Sabang,17.28,6308.37,0,0,0,0,0,0,0,0,0,P 2,20,10,5,20,10,5,5,15,10,6307.2,Sangat Kurang (<30%)
2023,Aceh,Kota Lhokseumawe,98.06,35793.28,0,0,3312.83,9.26,3312.83,9.26,0,3312.83,9.26,P 2,54.55,16.31,0.2,14.1,1.82,0.13,0.52,2.45,9.92,32479.07,Sangat Kurang (<30%)
2023,Aceh,Kota Langsa,96.32,35154.98,504.67,1.44,25954.14,73.83,26458.8,75.26,5.84,1271.74,3.63,P 2,22,20,9,15,7,10,7,8,2,8698,Cukup (60-80%)
2023,Aceh,Kota Subulussalam,57.07,20831.06,0,0,54.75,0.26,54.75,0.26,0,54.75,0.26,P 2,26,20,10,12,2,8,5,2,15,20775.8,Sangat Kurang (<30%)
2023,Sumatera Utara,Kab. Nias,58.76,21446.67,0,0,14.6,0.07,14.6,0.07,0,14.6,0.07,P 2,,,,,,,,,,21432.8,Sangat Kurang (<30%)
2023,Sumatera Utara,Kab. Langkat,521.55,190367.39,0,0,18352.03,9.64,18352.03,9.64,0,1452.17,0.76,P 2,38,30,24,7,0.2,0.2,0.1,0.1,0.1,172013.72,Sangat Kurang (<30%)
2023,Sumatera Utara,Kab. Deli Serdang,1126.61,411211.01,514.72,0.13,247076.39,60.09,247591.11,60.21,292,85472.64,20.86,P 2,20.5,24,13.8,20.2,6,5,3,2,5.5,163621.54,Cukup (60-80%)
2023,Sumatera Utara,Kab. Simalungun,510.81,186444.74,10.8,0.01,21.9,0.01,32.7,0.02,0,21.9,0.01,P 2,5.5,1.93,15.44,20.46,0.37,7.7,4.5,8.6,35.5,186412.95,Sangat Kurang (<30%)
2023,Sumatera Utara,Kab. Labuhanbatu,366.68,133837.54,0,0,0,0,0,0,0,0,0,P 2,25,24,4,30,2,6,2,4,3,133838.2,Sangat Kurang (<30%)
2023,Sumatera Utara,Kab. Toba,111.02,40522.11,12.27,0.03,334.1,0.82,346.37,0.85,0,334.1,0.82,P 2,25.15,13.4,4.13,9.39,1.38,4.56,13.25,6.45,22.29,40175.93,Sangat Kurang (<30%)
2023,Sumatera Utara,Kab. Mandailing Natal,193.95,70791.6,0,0,0,0,0,0,0,0,0,P 2,46,1,17,21,1,2,,4,8,70791.75,Sangat Kurang (<30%)
2023,Sumatera Utara,Kab. Pakpak Bharat,21.84,7973.06,0,0,0,0,0,0,0,0,0,P 2,34.3,11.9,12.6,10.6,9.6,2.4,5.3,6.3,7,7971.6,Sangat Kurang (<30%)
2023,Sumatera Utara,Kab. Humbang Hasundutan,61.41,22415.85,0,0,15002.25,66.93,15002.25,66.93,0,1780.12,7.94,P 2,12,55,10,13,3,1,0.2,0.8,5,7412.4,Cukup (60-80%)
2023,Sumatera Utara,Kota Medan,1768.94,645661.28,8970.9,1.39,565513.29,87.59,574484.18,88.98,8857.98,79019.39,13.61,P 2,,,,,,,,,,71178.92,Baik (>80%)
2023,Sumatera Utara,Kota Pematangsiantar,160.73,58664.63,0,0,10285.35,17.53,10285.35,17.53,0,10285.35,17.53,P 2,45,6,12,10,5,3,4,4,11,48381.1,Sangat Kurang (<30%)
2023,Sumatera Utara,Kota Sibolga,39.49,14413.56,17.16,0.12,58.4,0.41,75.56,0.52,17.16,58.4,0.52,P 2,26.43,28.68,7.55,15.97,1.64,4.74,1.74,3.74,9.51,14338.29,Sangat Kurang (<30%)
