tahun,provinsi,kabupaten_kota,timbulan_harian_ton,timbulan_tahunan_ton,pengurangan_ton,pct_pengurangan,penanganan_ton,pct_penanganan,terkelola_ton,pct_terkelola,daur_ulang_ton,bahan_baku_ton,recycling_rate,periode,komposisi_makanan_pct,komposisi_kayu_pct,komposisi_kertas_pct,komposisi_plastik_pct,komposisi_logam_pct,komposisi_kain_pct,komposisi_karet_pct,komposisi_kaca_pct,komposisi_lainnya_pct,gap_tidak_tertangani_ton,kategori_pengelolaan
2024,Sumatera Selatan,Kota Prabumulih,101.66,37104.08,86.73,0.23,7654.12,20.63,7740.85,20.86,73,7654.12,20.83,P 2,42.88,1.44,9.02,39.72,4,0.04,0.09,2.8,0.01,29365.05,Sangat Kurang (<30%)
2024,Bengkulu,Kab. Bengkulu Utara,186.83,68192.66,0.86,0,15491.58,22.72,15492.44,22.72,0,676.23,0.99,P 2,30,10,10,40,5,2,1,1,1,52700.51,Sangat Kurang (<30%)
2024,Bengkulu,Kab. Seluma,107.5,39238.6,0,0,0,0,0,0,0,0,0,P 2,76.5,8.5,5,2,0.5,3,,0.5,4,39237.5,Sangat Kurang (<30%)
2024,Bengkulu,Kab. Lebong,45.91,16757.3,0,0,0,0,0,0,0,0,0,P 2,64.45,8.58,8.56,12.84,0.2,0.89,1.6,0.73,2.1,16757.15,Sangat Kurang (<30%)
2024,Bengkulu,Kab. Bengkulu Tengah,60.57,22107.87,0,0,351.5,1.59,351.5,1.59,0,351.5,1.59,P 2,,,,,,,,,,21756.55,Sangat Kurang (<30%)
2024,Bengkulu,Kota Bengkulu,280.37,102336.18,0,0,0,0,,,,,,,65,3,13,11,1,1,1,1,4,,Sangat Kurang (<30%)
2024,Lampung,Kab. Lampung Utara,254.05,92728.83,24.05,0.03,36404.03,39.26,36428.08,39.28,0,13.53,0.01,P 2,,,,,,,,,,56300.17,Kurang (30-60%)
2024,Lampung,Kab. Tulang Bawang,173.43,63301.22,0,0,1095.05,1.73,1095.05,1.73,0,1095.05,1.73,P 2,69,15,5,5,,1,,,5,62206.9,Sangat Kurang (<30%)
2024,Lampung,Kab. Tanggamus,373.71,136404.5,0.82,0,17547.66,12.86,17548.48,12.87,0,6962.66,5.1,P 2,30.86,24.36,13.21,20.86,0.43,0.64,0.14,1.71,7.36,118855.67,Sangat Kurang (<30%)
2024,Lampung,Kab. Lampung Timur,571.29,208521.22,432,0.21,80.77,0.04,512.77,0.25,0,80.77,0.04,P 2,,,,,,,,,,208008.08,Sangat Kurang (<30%)
2024,Lampung,Kab. Way Kanan,195.91,71506.86,1159.27,1.62,8093.51,11.32,9252.77,12.94,200.82,808.69,1.41,P 2,,,,,,,,,,62254.38,Sangat Kurang (<30%)
2024,Lampung,Kab. Pesawaran,172.96,63131.88,32.94,0.05,3647.23,5.78,3680.17,5.83,0,3647.23,5.78,P 2,30,23,10,17,10,2,7,0.5,0.5,59450.23,Sangat Kurang (<30%)
2024,Lampung,Kab. Pringsewu,174.89,63834.41,6.72,0.01,7497.38,11.75,7504.11,11.76,0,7497.38,11.75,P 2,50,13,5,20,1.75,3,1,0.25,6,56330.74,Sangat Kurang (<30%)
2024,Lampung,Kab. Tulang Bawang Barat,118.19,43138.62,36.5,0.08,1377.55,3.19,1414.05,3.28,36.5,1377.55,3.28,P 2,,,,,,,,,,41725.3,Sangat Kurang (<30%)
2024,Lampung,Kab. Pesisir Barat,69.48,25360.2,0,0,21.66,0.09,21.66,0.09,0,21.66,0.09,P 2,42.5,19.2,9.5,21.1,0.6,2,0.9,1.2,3,25338.54,Sangat Kurang (<30%)
2024,Lampung,Kota Bandar Lampung,770.14,281100.84,0,0,98.37,0.03,98.37,0.03,0,98.37,0.03,P 2,15.8,20.1,3,2.6,1.7,1.7,2.7,1.7,50.7,281002.73,Sangat Kurang (<30%)
2024,Kepulauan Bangka Belitung,Kab. Belitung,95.75,34947.66,2.09,0.01,4779.06,13.67,4781.15,13.68,0,4779.06,13.67,P 2,25,9,4,36,3,1,,,22,30167.6,Sangat Kurang (<30%)
